Url,Brand,WatchName,Price,DetailInfo,Category,Image,WatchDescription,UniqId,ScrapedAt
https://www.thewatchpages.com/watches/jaquet-droz-petite-heure-minute-rat-j005003227/,Jaquet Droz,"Jaquet Droz

Petite Heure Minute Rat","$38,150","[{'Reference': 'J005003227'}, {'Date Added': 'February 11, 2020'}, {'Case Material': 'Red Gold'}, {'Case Size': '35mm'}, {'Case Back': 'Closed'}, {'Dial Color': 'Artistic Dial, White'}, {'Dial Finish': 'Miniature Painting'}, {'Strap Material': 'Alligator'}, {'Strap Color': 'Brown'}, {'Buckle Type': 'Pin'}, {'Movement': 'Automatic'}, {'Caliber': 'Jaquet Droz 2653.P'}, {'Power Reserve': '68 hours'}, {'Setting': '232 diamonds, 1.23 carats'}, {'Water Resistance': '3 ATM / 30 meters'}, {'Functions': 'Hours, Minutes'}]","Home,Brands,Jaquet Droz",https://cdn.thewatchpages.com/app/uploads/2020/04/13213912/jaquet-droz-petite-heure-minute-rat-j005003227.jpg,,52c40e40-475e-5756-8e1d-cf204bda9e39,21/10/2024 17:09:10
https://www.thewatchpages.com/watches/raketa-classic-big-zero-0217-w-20-16-10-0217/,Raketa,"Raketa

Classic BIG ZERO 0217","$1,096","[{'Reference': 'W-20-16-10-0217'}, {'Date Added': 'September 23, 2021'}, {'Case Material': 'Stainless Steel'}, {'Case Size': '38.8mm'}, {'Case Back': 'Open'}, {'Dial Color': 'Green'}, {'Strap Material': 'Leather'}, {'Strap Color': 'Red'}, {'Buckle Type': 'Pin'}, {'Movement': 'Automatic'}, {'Caliber': '2615'}, {'Power Reserve': '40 hours'}, {'Water Resistance': '10 ATM / 100 meters'}, {'Functions': 'Hours, Minutes, Central Seconds'}]","Home,Brands,Raketa","https://cdn.thewatchpages.com/app/uploads/2021/10/13200136/raketa-classic-big-zero-0217-w-20-16-10-0217.jpg, https://cdn.thewatchpages.com/app/uploads/2021/10/13200136/raketa-classic-big-zero-0217-w-20-16-10-0217-1.jpg, https://cdn.thewatchpages.com/app/uploads/2021/10/13200136/raketa-classic-big-zero-0217-w-20-16-10-0217-2.jpg, https://cdn.thewatchpages.com/app/uploads/2021/10/13200136/raketa-classic-big-zero-0217-w-20-16-10-0217-3.jpg, https://cdn.thewatchpages.com/app/uploads/2021/10/13200135/raketa-classic-big-zero-0217-w-20-16-10-0217-4.jpg, https://cdn.thewatchpages.com/app/uploads/2021/10/13200135/raketa-classic-big-zero-0217-w-20-16-10-0217-5.jpg, https://cdn.thewatchpages.com/app/uploads/2021/10/13200135/raketa-classic-big-zero-0217-w-20-16-10-0217-6.jpg",,cdb5a238-91b5-5818-b952-524b4ae4f220,21/10/2024 17:09:11
https://www.thewatchpages.com/watches/nomos-glashutte-club-sport-neomatik-39-ember-762/,Nomos Glashütte,"Nomos Glashütte

Club Sport neomatik 39 ember","$3,700","[{'Reference': '762'}, {'Date Added': 'September 28, 2023'}, {'Case Material': 'Stainless Steel'}, {'Case Size': '39.5mm'}, {'Case Back': 'Open'}, {'Dial Color': 'Beige'}, {'Luminescence': 'Yes'}, {'Strap Material': 'Stainless Steel'}, {'Buckle Type': 'Folding Clasp'}, {'Movement': 'Automatic'}, {'Caliber': 'DUW 3001'}, {'Power Reserve': '43 hours'}, {'Water Resistance': '20 ATM / 200 meters'}, {'Functions': 'Hours, Minutes, Small Seconds'}]","Home,Brands,Nomos Glashütte","https://cdn.thewatchpages.com/app/uploads/2023/09/28075251/nomos-glashuette-club-sport-neomatik-ember-762.jpeg, https://cdn.thewatchpages.com/app/uploads/2023/09/28075302/nomos-glashuette-club-sport-neomatik-ember-762-1-scaled.jpeg, https://cdn.thewatchpages.com/app/uploads/2023/09/28075312/nomos-glashuette-club-sport-neomatik-ember-762-2-scaled.jpeg, https://cdn.thewatchpages.com/app/uploads/2023/09/28075322/nomos-glashuette-club-sport-neomatik-ember-762-3-scaled.jpeg, https://cdn.thewatchpages.com/app/uploads/2023/09/28075335/nomos-glashuette-club-sport-neomatik-ember-762-4-scaled.jpeg, https://cdn.thewatchpages.com/app/uploads/2023/09/28075349/nomos-glashuette-club-sport-neomatik-ember-762-5-scaled.jpeg, https://cdn.thewatchpages.com/app/uploads/2023/09/28075403/nomos-glashuette-club-sport-neomatik-ember-762-6-scaled.jpeg",,3863e661-45ee-5c92-ac95-2ff4f76bf7b6,21/10/2024 17:09:12
https://www.thewatchpages.com/watches/franck-muller-curvex-cx-piano-cx-30-sc-at-fo-piano-5n-acnr/,Franck Muller,"Franck Muller

Curvex CX Piano","$17,653","[{'Reference': 'CX 30 SC AT FO PIANO 5N ACNR'}, {'Date Added': 'November 22, 2023'}, {'Case Material': 'Rose Gold'}, {'Case Size': '30 x 44mm'}, {'Case Back': 'Open'}, {'Dial Color': 'Black'}, {'Dial Finish': 'Lacquered'}, {'Strap Material': 'Satin'}, {'Strap Color': 'Black'}, {'Buckle Type': 'Pin'}, {'Movement': 'Automatic'}, {'Caliber': 'MVT FM 2536-SC'}, {'Power Reserve': '42 hours'}, {'Water Resistance': '3 ATM / 30 meters'}, {'Functions': 'Hours, Minutes, Central Seconds'}]","Home,Brands,Franck Muller",https://cdn.thewatchpages.com/app/uploads/2023/11/30175751/franck-muller-curvex-cx-piano-cx-30-sc-at-fo-piano-5n-acnr-scaled.jpeg,"The Curvex CX Piano from Franck Muller embodies elegance in its design. This timepiece from the collection boasts a sleek, glossy black dial, intentionally free of numerals and other elements, highlighting the exquisite black laqué piano finish and the overall allure of the watch. The dial is meticulously crafted with 20 layers of translucent lacquer and five layers of colored lacquer, creating a striking look that complements the polished case beautifully. One of the standout features of the Curvex CX Piano is its pear-shaped hands, which gracefully adorn the black laqué piano dial. This design choice not only adds to the watch’s aesthetic appeal but also ensures clear visibility of the time. The Curvex CX Piano is not just about its visual appeal; comfort is also a key consideration. The black satin strap is designed for ultimate wrist comfort while also enhancing the watch’s sophisticated look with its black laqué piano finish. The design of the Curvex CX Piano includes a perfectly curved case with unique contours, offering excellent dial visibility and minimizing material on the sides. The internal bezel, distinct from the case and set beneath the sapphire glass, allows for stunning two-tone effects. The Curvex CX collection has grown to include new sizes of 30 and 33 millimeters, with case options of yellow gold, rose gold, stainless steel, or black steel. The Piano collection is defined by its refined, clean aesthetic, making it a timeless choice that brings an element of sophistication and style to any ensemble.",0fd08b73-b716-56a8-b31c-04f27190beaf,21/10/2024 17:09:12
https://www.thewatchpages.com/watches/omega-speedmaster-38-co-axial-master-chronograph-32458385060001/,Omega,"Omega

Speedmaster
Speedmaster 38
Co-Axial Master Chronograph","$37,153","[{'Reference': '324.58.38.50.60.001'}, {'Date Added': 'April 23, 2024'}, {'Case Material': 'Moonshine Gold'}, {'Case Size': '38mm'}, {'Case Back': 'Closed'}, {'Dial Color': 'Green'}, {'Luminescence': 'Yes'}, {'Strap Material': 'Alligator'}, {'Strap Color': 'Green'}, {'Buckle Type': 'Folding Clasp'}, {'Movement': 'Automatic'}, {'Caliber': 'Omega 3330'}, {'Power Reserve': '52 hours'}, {'Setting': '52 diamonds'}, {'Water Resistance': '10 ATM / 100 meters'}, {'Functions': 'Hours, Minutes, Chronograph, Date, Small Seconds'}]","Home,Brands,Omega","https://cdn.thewatchpages.com/app/uploads/2024/04/29175520/omega-speedmaster-38-co-axial-master-chronograph-32458385060001-scaled.jpeg, https://cdn.thewatchpages.com/app/uploads/2024/04/29175533/omega-speedmaster-38-co-axial-master-chronograph-32458385060001-1-scaled.jpeg",,b9761477-3113-52ad-8ff4-5892acd0903d,21/10/2024 17:09:12
https://www.thewatchpages.com/watches/cyrus-klepcys-dice-titanium-539508tta/,Cyrus,"Cyrus

Klepcys DICE Titanium","$38,653","[{'Reference': '539.508.TT.A'}, {'Date Added': 'August 18, 2021'}, {'Case Material': 'Titanium'}, {'Case Size': '42mm'}, {'Case Back': 'Open'}, {'Dial Finish': 'Skeletonized'}, {'Luminescence': 'Yes'}, {'Strap Material': 'Textile'}, {'Strap Color': 'Gray'}, {'Buckle Type': 'Folding Clasp'}, {'Movement': 'Automatic'}, {'Caliber': 'CYR718'}, {'Power Reserve': '60 hours'}, {'Water Resistance': '10 ATM / 100 meters'}, {'Functions': 'Hours, Minutes, Chronograph, Small Seconds, Double Independent Chronograph'}]","Home,Brands,Cyrus","https://cdn.thewatchpages.com/app/uploads/2021/08/13200810/cyrus-klepcys-dice-539508tta.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200809/cyrus-klepcys-dice-539508tta-1.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200809/cyrus-klepcys-dice-539508tta-2.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200809/cyrus-klepcys-dice-539508tta-3.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200808/cyrus-klepcys-dice-539508tta-4.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200808/cyrus-klepcys-dice-539508tta-5.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200808/cyrus-klepcys-dice-539508tta-6.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200808/cyrus-klepcys-dice-539508tta-7.jpg, https://cdn.thewatchpages.com/app/uploads/2021/08/13200807/cyrus-klepcys-dice-539508tta-8.jpg",,c4c61436-5da8-519c-a3a9-4a0ce84d7b25,21/10/2024 17:09:12
https://www.thewatchpages.com/watches/jaquet-droz-dragon-automaton-john-howe-j0327330031/,Jaquet Droz,"Jaquet Droz

Dragon Automaton John Howe",,"[{'Reference': 'J0327330031'}, {'Date Added': 'September 13, 2022'}, {'Case Material': 'Red Gold'}, {'Case Size': '43mm'}, {'Case Back': 'Open'}, {'Dial Color': 'Artistic Dial, White'}, {'Dial Finish': 'Engraved, Miniature Painting'}, {'Strap Material': 'Rubber'}, {'Strap Color': 'Red'}, {'Buckle Type': 'Folding Clasp'}, {'Movement': 'Automatic'}, {'Caliber': 'Jaquet Droz 6150'}, {'Power Reserve': '38 hours'}, {'Water Resistance': '3 ATM / 30 meters'}, {'Functions': 'Hours, Minutes, Automaton'}]","Home,Brands,Jaquet Droz","https://cdn.thewatchpages.com/app/uploads/2022/09/15063644/jaquet-droz-dragon-automaton-john-howe-j0327330031.jpg, https://cdn.thewatchpages.com/app/uploads/2022/09/15063653/jaquet-droz-dragon-automaton-john-howe-j0327330031-1-scaled.jpg, https://cdn.thewatchpages.com/app/uploads/2022/09/15063705/jaquet-droz-dragon-automaton-john-howe-j0327330031-2.jpg",,f24e8037-1b6a-5f6d-94cd-ec06976d5331,21/10/2024 17:09:13
https://www.thewatchpages.com/watches/venezianico-nereide-ultraleggero-42-3921508c/,Venezianico,"Venezianico

Nereide Ultraleggero 42",$685,"[{'Reference': '3921508C'}, {'Date Added': 'November 19, 2023'}, {'Case Material': 'Stainless Steel'}, {'Case Size': '42mm'}, {'Case Back': 'Closed'}, {'Dial Color': 'Gray'}, {'Strap Material': 'Stainless Steel'}, {'Buckle Type': 'Folding Clasp'}, {'Movement': 'Automatic'}, {'Caliber': 'Seiko NH70A'}, {'Power Reserve': '41 hours'}, {'Water Resistance': '20 ATM / 200 meters'}, {'Functions': 'Hours, Minutes, Central Seconds'}]","Home,Brands,Venezianico","https://cdn.thewatchpages.com/app/uploads/2024/08/09174007/venezianico-nereide-ultraleggero-42-3921508c.jpeg, https://cdn.thewatchpages.com/app/uploads/2024/08/09174018/venezianico-nereide-ultraleggero-42-3921508c-1.jpeg, https://cdn.thewatchpages.com/app/uploads/2024/08/09174030/venezianico-nereide-ultraleggero-42-3921508c-2.jpeg, https://cdn.thewatchpages.com/app/uploads/2024/08/09174042/venezianico-nereide-ultraleggero-42-3921508c-3.jpeg, https://cdn.thewatchpages.com/app/uploads/2024/08/09174054/venezianico-nereide-ultraleggero-42-3921508c-4.jpeg","The Nereide Ultraleggero watch is a sophisticated and innovative timepiece, characterized by a meticulously balanced dial following Leonardo da Vinci’s golden ratio. This design ensures a visually harmonious and structured aesthetic. The watch has a strong identity with a sporty essence, featuring a refined design complemented by a rubber strap that seamlessly conforms to the case shape. The strap offers exceptional comfort, elasticity, and resistance to extreme temperature variations ranging from -30°C to +70°C. To achieve a thinner case, the watch dial comprises three superimposed layers, with the first layer replacing the traditional spacer ring, a feature protected by patent no. 102021000031718. The caseback design reflects the complexity of the watch’s engineering, using a combination of screws, grooves, and three different finishes: radial satin, micro-sandblasting, and polishing. The overall design of the Nereide Ultraleggero not only emphasizes its technical sophistication but also ensures maximum comfort and durability from the first use.",6b651343-f2d4-5fd0-9139-09f30e9e01bd,21/10/2024 17:09:13
https://www.thewatchpages.com/watches/czapek-antarctique-passage-de-drake-ice-white/,Czapek,"Czapek

Antarctique Passage de Drake Ice White","$25,384","[{'Date Added': 'December 8, 2020'}, {'Case Material': 'Stainless Steel'}, {'Case Size': '40.5mm'}, {'Case Back': 'Open'}, {'Dial Color': 'White'}, {'Luminescence': 'Yes'}, {'Strap Material': 'Stainless Steel'}, {'Strap Color': 'Interchangeable'}, {'Buckle Type': 'Folding Clasp'}, {'Movement': 'Automatic'}, {'Caliber': 'SXH5'}, {'Power Reserve': '56 hours'}, {'Water Resistance': '12 ATM / 120 meters'}, {'Functions': 'Hours, Minutes, Central Seconds, Date'}]","Home,Brands,Czapek","https://cdn.thewatchpages.com/app/uploads/2020/12/13205626/czapek-antarctique-passage-de-drake-ice-white-643573608-scaled.jpg, https://cdn.thewatchpages.com/app/uploads/2020/12/13205625/czapek-antarctique-passage-de-drake-ice-white-643573608-1.jpg, https://cdn.thewatchpages.com/app/uploads/2020/12/13205625/czapek-antarctique-passage-de-drake-ice-white-643573608-2.jpg, https://cdn.thewatchpages.com/app/uploads/2020/12/13205625/czapek-antarctique-passage-de-drake-ice-white-643573608-3.jpg",,1ab4c740-3b1f-52f6-8c9a-e56bb2526cab,21/10/2024 17:09:13
https://www.thewatchpages.com/watches/czapek-quai-des-bergues-lady-no-7/,Czapek,"Czapek

Quai des Bergues LADY No.7","$32,307","[{'Date Added': 'May 20, 2019'}, {'Case Material': 'White Gold'}, {'Case Size': '38.5mm'}, {'Case Back': 'Open'}, {'Dial Color': 'White'}, {'Strap Material': 'Alligator'}, {'Strap Color': 'Blue'}, {'Buckle Type': 'Pin'}, {'Movement': 'Manual'}, {'Caliber': 'SXH1'}, {'Power Reserve': '168 hours'}, {'Water Resistance': '3 ATM / 30 meters'}, {'Functions': 'Hours, Minutes, Power Reserve Indicator, Small Seconds'}]","Home,Brands,Czapek",https://cdn.thewatchpages.com/app/uploads/2020/01/13215314/czapek-quai-des-bergues-lady-no7.jpg,,0f2dfc50-e946-57ed-8744-d9a9eaf5be4d,21/10/2024 17:09:14
